nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,resource_id
Le Relais de la Perle,810219006,contact@lerelaisdelaperle.fr,le Relais,contact@lerelaisdelaperle.fr,0384259552,le relais,Non concerné,87e0fb5a-e591-11eb-ba80-0242ac130004,le relais,Parking privé réservé à la clientèle,184 route de Voiteur 39210 Le Vernois,39553,"[5.56,46.74]",1,Non concerné,06561794486915,22,false,true,false,false,false,false,true,true,true,7 €,Accès réservé,false,24/7,Réservé PMR,3 m,false,Direct,06561794486915,2021-05-01,,2021-07-15,2021-07-15T20:12:05.255000,699a4316-821f-43b7-a1db-fa43d2cda836
Le Relais de la Perle,810219006,contact@lerelaisdelaperle.fr,le Relais,contact@lerelaisdelaperle.fr,0384259552,le relais,Non concerné,87e0fb5a-e591-11eb-ba80-0242ac130004,le relais,Parking privé réservé à la clientèle,184 route de Voiteur 39210 Le Vernois,39553,"[5.56,46.74]",1,Non concerné,06561794486915,22,false,true,false,false,false,false,true,true,true,7 €,Accès réservé,false,24/7,Réservé PMR,3 m,false,Direct,06561794486915,2021-05-01,,2021-07-15,2021-07-15T20:12:03.550000,fb848fc5-b17a-4f94-adee-e5977102c152
Le Relais de la Perle,810219006,contact@lerelaisdelaperle.fr,le Relais,contact@lerelaisdelaperle.fr,0384259552,le relais,Non concerné,87e0fb5a-e591-11eb-ba80-0242ac130004,le relais,Parking privé réservé à la clientèle,184 route de Voiteur 39210 Le Vernois,39553,"[5.56,46.74]",1,Non concerné,06561794486915,22,false,true,false,false,false,false,true,true,true,7 €,Accès réservé,false,24/7,Réservé PMR,3 m,false,Direct,06561794486915,2021-05-01,,2021-07-15,2021-07-15T20:12:03.492000,6aa738ba-4a3f-4016-aca0-dd275b6984f5
Le Relais de la Perle,810219006,contact@lerelaisdelaperle.fr,le Relais,contact@lerelaisdelaperle.fr,0384259552,le relais,Non concerné,87e0fb5a-e591-11eb-ba80-0242ac130004,le relais,Parking privé réservé à la clientèle,184 route de Voiteur 39210 Le Vernois,39553,"[5.56,46.74]",1,Non concerné,06561794486915,22,false,true,false,false,false,false,true,true,true,7 €,Accès réservé,false,24/7,Réservé PMR,3 m,false,Direct,06561794486915,2021-05-01,,2021-07-15,2021-07-15T20:12:03.417000,f6665f51-b4f8-4bc7-a3e3-f3c48cc7f7b9
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN6XQHHHY5JTQ2VTR353SB0,RELAIS  RIVESALTES NORD,Station dédiée à la recharge rapide,"2 RUE JEANNE BARRET-MASGARRIGUE, 66600 RIVESALTES",66164,"[42.779756,2.899358]",2,Non concerné,01FAN6XQHHHY5JTQ2VTR353SB0,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50062464295303,2021-03-08,SO,2021-07-15,2021-07-15T16:03:04.774000,289f3df6-a417-4521-b1d8-e1f5d4bc5c6d
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN6JKZZ9Z91Q08ZK7BN4TS6,RELAIS AMIRAL MOUCHEZ,Station dédiée à la recharge rapide,174 BOULEVARD DE L'AMIRAL MOUCHE,76351,"[49.487559,0.149616]",2,Non concerné,01FAN6JKZZ9Z91Q08ZK7BN4TS6,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,true,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50090829218304,2021-04-29,SO,2021-07-15,2021-07-15T15:48:42.231000,755d264d-495c-4aae-87d7-53c1aa20309c
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN61BXSMTMV7GFF036EEN3G,REALIS GIRONDE,Station dédiée à la recharge rapide,Rocade Ouest 33700 Mérignac,33281,"[44.85025,-0.667119]",2,Non concerné,01FAN61BXSMTMV7GFF036EEN3G,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50049004746474,2020-12-09,SO,2021-06-21,2021-07-15T15:42:02.626000,4f32f232-ad45-488f-b256-c9bcdcb12c17
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN53B7YAVDGVBS5STEVPP59,RELAIS BOURG JASSERON,Station dédiée à la recharge rapide,"A40 - AIRE DE BOURG JASSERON, 01250 CEYZERIAT",01072,"[46.20286,5.29634]",2,Non concerné,01FAN53B7YAVDGVBS5STEVPP59,225,true,true,true,true,false,false,true,true,false,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,true,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50056820847199,2021-02-11,SO,2021-07-15,2021-07-15T15:25:28.150000,94ff0a53-e4b1-4d14-ab27-47398adc37b0
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN4B114ZX29X43RAWWBRB0H,RELAIS BARRE THOMAS,Station dédiée à la recharge rapide,202 Rue de Lorient 35000 Rennes,35238,"[48.107209,-1.725985]",2,Non concerné,01FAN4B114ZX29X43RAWWBRB0H,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50039164602339,2021-04-22,SO,2021-07-15,2021-07-15T15:16:13.522000,b0595319-5ca0-489d-a2c0-f7442b00b7cf
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAFM82S8KVW8ZDN5R4ZZ2MCY,"RELAIS RUNGIS DELTA,RUNGIS",Station dédiée à la recharge rapide,"A106 - AIRE RUNGIS DELTA PONDOR, 94150 RUNGIS",94065,"[48.758095,2.34749]",1,Non concerné,01FAFM82S8KVW8ZDN5R4ZZ2MCY,50,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC ",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,30002231658840,2020-11-18,SO,2021-07-09,2021-07-15T15:03:56.443000,8447396f-e295-446f-88ee-a60cc1e42bb9
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN1W0DDB7BAAZ77YMAGHE58,"RELAIS PLOMBIERES, MARSEILLE 3EME ARRONDISSEMENT",Station dédiée à la recharge rapide,83 Boulevard de Plombieres 13003 Marseille,13203,"[43.3162,5.3831]",2,Non concerné,01FAN1W0DDB7BAAZ77YMAGHE58,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50044663349082,2021-01-08,SO,2021-07-13,2021-07-15T14:53:47.691000,4bb26627-1170-41fd-b0c6-e0e35b01eb18
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAN1B5H1W7V245E8JZRZ7BV9,"RELAIS PLOUMAGOAR, PLOUMAGOAR",Station dédiée à la recharge rapide,"ROUTE DE ST BRIEUC -  RN 12, 22970 PLOUMAGOAR",22225,"[48.550222,-3.112511]",2,Non concerné,01FAN1B5H1W7V245E8JZRZ7BV9,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50029901910447,2021-01-12,SO,2021-07-13,2021-07-15T14:16:56.635000,222201e7-a248-4de0-909a-0318c3315071
