MARCHE_ID,ACHETEURS_ID,ACHETEURS_NOM,NATURE_MARCHE,MARCHE_OBJET,LIEU_EXEC_CODE,LONG_EXEC_CODE,LAT_EXEC_CODE,PUBLICATION_DATE,MONTANT,Remarques facultatives
1,,COEXIA ENVELOPPE,Marchés de travaux,Réfection de toitures terrasses,59440,3.945440,50.116110,05-16,"15 000- 89 999,99",
2,40356497400034,BONIFACE,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 1 : Gros Oeuvre - démolitions,59225,3.390860,50.077540,03-16,"90 000- 5 185 999,99",
3,446 720 633 00010,P.HANNOTIAUX,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 2 : Menuiseries extérieures aluminium,59618,3.929250,50.248680,03-16,"90 000- 5 185 999,99",
4,42817211800021,DEVREESE,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 3 : Menuiseries bois  plâtrerie  plafonds,59550,3.667560,50.134930,03-16,"90 000- 5 185 999,99",
5,50403451300011,HORIZON 3000,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 4 : Peinture sols souples,59230,,,03-16,"90 000- 5 185 999,99",
6,31380211800031,COLSON,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 5 : Plomberie sanitaires,59530,3.651870,50.256550,03-16,"90 000- 5 185 999,99",
7,81334897600016,B2V ÉLECTRICITÉ,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 6 : Électricité,59530,3.622790,50.224100,03-16,"90 000- 5 185 999,99",
8,39080288200048,BASCOP,Marchés de travaux,Travaux d'aménagement d'une cellule pour la création d'un RAM - lot 7 : VRD - Aménagements des extérieurs,59530,3.648680,50.248350,03-16,"90 000- 5 185 999,99",
9,,CITÉOS,Marchés de travaux,Rénovation et création d'installations électriques des espaces extérieurs,59583,3.547726,50.346422,07-16,"90 000- 5 185 999,99",Mandataire
9,30713280300049,TROMONT,Marchés de travaux,Rénovation et création d'installations électriques des espaces extérieurs,59750,3.906840,50.275530,07-16,"90 000- 5 185 999,99",Co-traitant
10,32919833700944,MONTARON COLAS,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 1 : Voiries  réseaux divers et génie civil,59605,3.938390,50.282370,08-16,"90 000- 5 185 999,99",Mandataire
10,44454977800033,CAUBATIM,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 1 : Voiries  réseaux divers et génie civil,59144,3.686000,50.281760,08-16,"90 000- 5 185 999,99",Co-traitant
10,41928326200162,KELLER FONDATIONS SPECIALES,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 1 : Voiries  réseaux divers et génie civil,67120,7.567420,48.542600,08-16,"90 000- 5 185 999,99",Sous-traitant
11,407 904 374 00177,EIFFAGE CONSTRUCTION NORD,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 2 : Bâtiment et gros Oeuvre étendu,59030,3.118210,50.617570,08-16,"90 000- 5 185 999,99",Titulaire
11,38923907000029,DEHANNE JOSÉ,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 2 : Bâtiment et gros Oeuvre étendu,59440,3.913600,50.138090,08-16,"90 000- 5 185 999,99",Sous-traitant 1
11,62870598000017,LOUIS LEGRAND,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 2 : Bâtiment et gros Oeuvre étendu,59230,3.426630,50.451570,08-16,"90 000- 5 185 999,99",Sous-traitant 2
11,77622463600048,SERVAIS,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 2 : Bâtiment et gros Oeuvre étendu,59750,3.906280,50.282930,08-16,"90 000- 5 185 999,99",Sous-traitant 3
12,35296349000045,ELECTRO TEAM,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 3 : Électricité : courants fort et faible,59770,3.539000,50.348590,08-16,"90 000- 5 185 999,99",Mandataire
