ACHETEURS_ID,ACHETEURS_NOM,NATURE_MARCHE,MARCHE_OBJET,LIEU_EXEC_CODE,LONG_EXEC_CODE,LAT_EXEC_CODE,PUBLICATION_DATE,MONTANT,Remarques falcultatives
75015321500017,TECHNI'SPORTS ET ENVIRONNEMENT,Marchés de travaux,Restauration des mares prairiales,59230,3.364750,50.450190,2021-04-15,"15 000- 89 999,99",
75015321500017,TECHNI'SPORTS ET ENVIRONNEMENT,Marchés de travaux,Plantations  entretien et garanties de haies  d'arbres bocagers et fruitiers sur le territoire de la CCPM,59230,3.364750,50.450190,2021-04-15,"15 000- 89 999,99",
32919833700944,MONTARON,Marchés de travaux,Travaux modificatifs du réseau d'assainissement des eaux pluviales de la déchetterie de Bavay - Lot 1 : Voirie  réseau divers,59605,3.942970,50.287950,2021-08-15,"15 000- 89 999,99",Titulaire
51867152400024,ED ETANCHEITES,Marchés de travaux,Travaux modificatifs du réseau d'assainissement des eaux pluviales de la déchetterie de Bavay - Lot 1 : Voirie  réseau divers,62138,2.782240,50.506230,2021-08-15,"15 000- 89 999,99",Sous-Traitant
38451062400016,CLôTURES ET PORTAILS DU DOUAISIS,Marchés de travaux,Travaux modificatifs du réseau d'assainissement des eaux pluviales de la déchetterie de Bavay - Lot 2 : Clôture  portail et espace vert,59128,3.060370,50.401600,2021-08-15,"15 000- 89 999,99",Groupement
32534895100030,AGRIGEX ENVIRONNEMENT,Marchés de travaux,Travaux modificatifs du réseau d'assainissement des eaux pluviales de la déchetterie de Bavay - Lot 2 : Clôture  portail et espace vert,91320,2.318060,48.731690,2021-08-15,"15 000- 89 999,99",Groupement
,CITEOS,Marchés de travaux,Rénovation des installations électriques des espaces extérieurs,59583,3.547726,50.346422,2021-05-15,"90 000- 5 185 999,99",
95551261100083,PLASTIC OMNIUM,Marchés de fournitures,Acquisition de bacs et composteurs pour la collecte des déchets ménagers - Lot 3 : Acquisition de composteurs individuels en plastique,69342,4.841480,45.725960,2021-05-15,"15 000- 89 999,99",
64705069900014,FABRIQUE DES GAVOTTES,Marchés de fournitures,Acquisition de bacs et composteurs pour la collecte des déchets ménagers - Lot 4 : Acquisition de composteurs individuels en bois,39220,6.148490,46.540920,2021-05-15,"15 000- 89 999,99",
43409309200014,SGI OPERIS,Marchés de fournitures,Fourniture et déploiement d'un logiciel d'instruction des documents d'urbanisme,59650,2.278450,48.709460,2021-06-15,"15 000- 89 999,99",
30239618900128,TEMACO,Marchés de fournitures,Acquisition de bacs et composteurs pour la collecte des déchets ménagers - Lot 1 : Acquisition de bacs pour la collecte des déchets ménagers sur le territoire de l'ex CCQ,13793,5.356640,43.488570,2021-03-15,207000,
45310394700025,ENVIRONNEMENT SERVICES,Marchés de fournitures,Acquisition de bacs et composteurs pour la collecte des déchets ménagers - Lot 2 : Acquisition de bacs pour la collecte des déchets ménagers sur le territoire de l'ex CCB,59330,3.926330,50.254330,2021-03-15,207000,
47718101000794,API RESTAURATION,Marchés de services,Confection et livraison de repas en liaison froide à destination des CLSH 2015 de la CCPM,59224,3.461830,50.305670,2021-02-15,"15 000- 89 999,99",
97120154600571,SATELEC,Marchés de services,Maintenance des installations électriques des espaces extérieurs,59125,2.780010,50.308310,2021-02-15,"15 000- 89 999,99",
51248138300010,VITAL SERVICES,Marchés de services,Livraison de repas en liaison froide aux personnes Ã¢gées de la CCPM 2015,59680,4.019810,50.239370,2021-02-15,15 000- 89 999,
494 009 731 00063,GB2A AVOCATS,Marchés de services,Mission de définition et d'organisation de la compétence tourisme au sein de la CCPM,14015,-0.367060,49.179390,2021-04-15,"15 000- 89 999,99",Groupement
502 198 708 00047,GB2A FINANCE,Marchés de services,Mission de définition et d'organisation de la compétence tourisme au sein de la CCPM,14015,-0.367060,49.179390,2021-04-15,15 000- 89 999,Groupement
40095960700013,FRANCOIS TOURISME CONSULTANTS,Marchés de services,Mission de définition et d'organisation de la compétence tourisme au sein de la CCPM,24710,0.792480,45.211190,2021-04-15,15 000- 89 999,Groupement
40378218800037,CIBLES ET STRATÉGIES,Marchés de services,Étude préalable à la redynamisation des centres bourgs et du tissu artisanal dans le cadre du dispositif FISAC,22000,-2.765580,48.508160,2021-12-15,"15 000- 89 999,99",
77568562100804,UFCV,Marchés de services,Animation et gestion des accueils de loisirs sans hébergement 2015 - Lot 2 : Petites vacances scolaires,59830,3.189520,50.575440,2021-02-15,"90 000-206 999,99",
81017574500019,QUALIVIA INGENIERIE,Marchés de services,Mission AMO pour la création d'une ZAE et d'un village d'artisans sur la commune de Wargnies-le-Grand,59650,3.145430,50.639290,2021-09-15,"15 000- 89 999,99",
80852096900011,ANTOINE MARÉCHAL,Marchés de services,Entretien des haies bocagères sur le territoire de la CCPM,59530,3.581840,50.258760,2021-12-15,"90 000-206 999,99",Marché à bon de commande multi-attributaires
84902547300018,DUMOULIN MOTTE,Marchés de services,Entretien des haies bocagères sur le territoire de la CCPM,59218,3.628980,50.182230,2021-12-15,"90 000-206 999,99",Marché à bon de commande multi-attributaires
82430668200017,ETA DE ROMERIES,Marchés de services,Entretien des haies bocagères sur le territoire de la CCPM,59730,3.529880,50.203160,2021-12-15,"90 000-206 999,99",Marché à bon de commande multi-attributaires
